Architecture	Latent Dim	Sandard Deviation	Batch Size	Epochs	Learning Rate	Kernel Size	Filters	Stride	Loss	Davies-Bouldin Score	Calinski-Harabasz Score
MLP	8	0.05	128	1	0.001	4	8	1	0.25	4.04	3988.24	
MLP	8	0.05	128	1	0.001	4	8	2	0.47	3.72	4598.26	
MLP	8	0.05	128	1	0.001	4	8	4	0.5	3.82	4592.25	
MLP	8	0.05	128	1	0.001	4	24	1	0.22	3.82	4376.29	
MLP	8	0.05	128	1	0.001	4	24	2	0.24	3.82	4384.54	
MLP	8	0.05	128	1	0.001	4	24	4	0.29	4.07	3828.89	
MLP	8	0.05	128	1	0.001	4	48	1	0.24	3.18	6259.45	
MLP	8	0.05	128	1	0.001	4	48	2	0.22	3.77	4486.46	
MLP	8	0.05	128	1	0.001	4	48	4	0.21	3.57	5046.3	
MLP	8	0.05	128	1	0.001	8	8	1	0.3	3.65	4912.88	
MLP	8	0.05	128	1	0.001	8	8	2	0.29	3.95	4100.15	
MLP	8	0.05	128	1	0.001	8	8	4	0.44	4.14	3776.9	
MLP	8	0.05	128	1	0.001	8	24	1	0.23	3.42	5490.95	
MLP	8	0.05	128	1	0.001	8	24	2	0.24	3.99	4032.69	
MLP	8	0.05	128	1	0.001	8	24	4	0.25	3.74	4576.6	
MLP	8	0.05	128	1	0.001	8	48	1	0.22	4.06	3841.38	
MLP	8	0.05	128	1	0.001	8	48	2	0.21	3.78	4553.28	
MLP	8	0.05	128	1	0.001	8	48	4	0.2	3.81	4376.75	
MLP	8	0.05	128	1	0.001	16	8	1	0.31	4.21	3584.86	
MLP	8	0.05	128	1	0.001	16	8	2	0.33	3.73	4538.71	
